original,normalized
http://www.worldbank.org/en/news/press-release/2026/04/28/madagascar-s-transport-infrastructure-gets-a-major-boost-with-world-bank-group-support,http://www.worldbank.org/en/news/press-release/2026/04/28/madagascar-s-transport-infrastructure-gets-a-major-boost-with-world-bank-group-support
http://www.worldbank.org/en/news/press-release/2026/04/28/world-bank-approves-250-million-to-transform-kinshasa-s-waste-management-and-create-jobs,http://www.worldbank.org/en/news/press-release/2026/04/28/world-bank-approves-250-million-to-transform-kinshasa-s-waste-management-and-create-jobs
http://www.worldbank.org/en/news/press-release/2026/04/28/strengthening-coastal-resilience-and-the-blue-economy-in-west-africa-launch-of-waca-in-mauritania,http://www.worldbank.org/en/news/press-release/2026/04/28/strengthening-coastal-resilience-and-the-blue-economy-in-west-africa-launch-of-waca-in-mauritania
http://www.worldbank.org/en/news/press-release/2026/04/28/commodity-markets-outlook-april-2026-press-release,http://www.worldbank.org/en/news/press-release/2026/04/28/commodity-markets-outlook-april-2026-press-release
http://www.worldbank.org/en/news/press-release/2026/04/28/morocco-can-accelerate-growth-attract-private-investment-and-generate-millions-of-jobs-through-structural-and-other-poli,http://www.worldbank.org/en/news/press-release/2026/04/28/morocco-can-accelerate-growth-attract-private-investment-and-generate-millions-of-jobs-through-structural-and-other-poli
http://www.worldbank.org/en/news/press-release/2026/04/27/regional-launch-of-fit-to-prosper-investing-in-health-for-jobs-and-development-in-western-central-africa,http://www.worldbank.org/en/news/press-release/2026/04/27/regional-launch-of-fit-to-prosper-investing-in-health-for-jobs-and-development-in-western-central-africa
http://www.worldbank.org/en/news/press-release/2026/04/27/world-bank-group-to-power-cambodia-s-transport-transformation-unlocking-jobs-and-growth,http://www.worldbank.org/en/news/press-release/2026/04/27/world-bank-group-to-power-cambodia-s-transport-transformation-unlocking-jobs-and-growth
https://www.australianindustrygroup.com.au/news/media-centre/2026/vic-budget-freebies-are-not-the-economic-answer/,https://www.australianindustrygroup.com.au/news/media-centre/2026/vic-budget-freebies-are-not-the-economic-answer/
https://www.australianindustrygroup.com.au/news/speeches-transcripts/2026/apprenticeships-work.-lets-back-them-and-protect-them,https://www.australianindustrygroup.com.au/news/speeches-transcripts/2026/apprenticeships-work.-lets-back-them-and-protect-them
https://www.australianindustrygroup.com.au/news/media-centre/2026/australian-industry-group-calls-for-more-strategic-engagement-to-grow-australiaafrica-trade/,https://www.australianindustrygroup.com.au/news/media-centre/2026/australian-industry-group-calls-for-more-strategic-engagement-to-grow-australiaafrica-trade/
